Date,Category,SKU,Units Sold,Price
01/01/2022,Sarsabz Urea,SU-7658,711,5000
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,708,8050
01/01/2022,Sarsabz Urea,SU-7658,545,5000
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,841,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,800,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,703,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,704,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,749,8050
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,733,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,714,8050
01/01/2022,CAN Sarsabz Fatima,CSF-9101,961,5080
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,973,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,708,4150
01/01/2022,CAN Sarsabz Fatima,CSF-9101,727,5080
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,931,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,630,8050
01/01/2022,CAN Sarsabz Fatima,CSF-9101,523,5080
01/01/2022,Sarsabz Urea,SU-7658,530,5000
01/01/2022,CAN Sarsabz Fatima,CSF-9101,567,5080
01/01/2022,CAN Sarsabz Fatima,CSF-9101,688,5080
01/01/2022,Sarsabz Urea,SU-7658,648,5000
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,526,4150
01/01/2022,Sarsabz Urea,SU-7658,734,5000
01/01/2022,Babar Sher Urea,BSR-0294,897,4795
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,765,4150
01/01/2022,Sarsabz Urea,SU-7658,633,5000
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,624,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,917,8050
01/01/2022,Babar Sher Urea,BSR-0294,553,4795
01/01/2022,Sarsabz Urea,SU-7658,560,5000
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,720,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,587,8050
01/01/2022,Sarsabz Urea,SU-7658,555,5000
01/01/2022,CAN Sarsabz Fatima,CSF-9101,595,5080
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,885,8050
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,524,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,761,4150
02/01/2022,Sarsabz Urea,SU-7658,564,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,522,8050
02/01/2022,Sarsabz Urea,SU-7658,642,5000
02/01/2022,CAN Sarsabz Fatima,CSF-9101,640,5080
02/01/2022,Babar Sher Urea,BSR-0294,652,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,928,4150
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,550,8050
02/01/2022,Sarsabz Urea,SU-7658,815,5000
02/01/2022,Sarsabz Urea,SU-7658,750,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,862,8050
02/01/2022,Babar Sher Urea,BSR-0294,901,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,585,4150
02/01/2022,Babar Sher Urea,BSR-0294,684,4795
02/01/2022,Babar Sher Urea,BSR-0294,722,4795
02/01/2022,CAN Sarsabz Fatima,CSF-9101,697,5080
02/01/2022,Babar Sher Urea,BSR-0294,614,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,511,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,581,5080
02/01/2022,CAN Sarsabz Fatima,CSF-9101,808,5080
02/01/2022,Babar Sher Urea,BSR-0294,993,4795
02/01/2022,Sarsabz Urea,SU-7658,946,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,730,8050
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,895,4150
02/01/2022,Sarsabz Urea,SU-7658,562,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,827,8050
02/01/2022,Babar Sher Urea,BSR-0294,513,4795
02/01/2022,Sarsabz Urea,SU-7658,723,5000
02/01/2022,Babar Sher Urea,BSR-0294,941,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,990,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,881,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,763,5080
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,784,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,840,5080
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,553,4150
02/01/2022,Babar Sher Urea,BSR-0294,714,4795
02/01/2022,Sarsabz Urea,SU-7658,934,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,634,8050
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,602,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,660,4150
02/01/2022,Babar Sher Urea,BSR-0294,771,4795
02/01/2022,Babar Sher Urea,BSR-0294,578,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,860,4150
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,956,8050
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,812,8050
02/01/2022,Sarsabz Urea,SU-7658,751,5000
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,761,4150
02/01/2022,Sarsabz Urea,SU-7658,951,5000
02/01/2022,Sarsabz Urea,SU-7658,623,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,574,8050
02/01/2022,Sarsabz Urea,SU-7658,940,5000
02/01/2022,CAN Sarsabz Fatima,CSF-9101,722,5080
02/01/2022,Sarsabz Urea,SU-7658,726,5000
02/01/2022,Sarsabz Urea,SU-7658,889,5000
02/01/2022,CAN Sarsabz Fatima,CSF-9101,720,5080
02/01/2022,CAN Sarsabz Fatima,CSF-9101,603,5080
02/01/2022,Babar Sher Urea,BSR-0294,820,4795
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,953,8050
02/01/2022,Babar Sher Urea,BSR-0294,633,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,657,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,607,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,685,5080
02/01/2022,CAN Sarsabz Fatima,CSF-9101,987,5080
02/01/2022,Sarsabz Urea,SU-7658,559,5000
02/01/2022,Babar Sher Urea,BSR-0294,636,4795
02/01/2022,Sarsabz Urea,SU-7658,792,5000
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,547,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,841,5080
02/01/2022,Sarsabz Urea,SU-7658,723,5000
02/01/2022,Babar Sher Urea,BSR-0294,909,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,641,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,634,4150
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,700,8050
02/01/2022,Sarsabz Urea,SU-7658,707,5000
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,864,4150
02/01/2022,CAN Sarsabz Fatima,CSF-9101,803,5080
02/01/2022,CAN Sarsabz Fatima,CSF-9101,861,5080
02/01/2022,Sarsabz Urea,SU-7658,637,5000
02/01/2022,Babar Sher Urea,BSR-0294,707,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,916,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,701,4150
02/01/2022,Babar Sher Urea,BSR-0294,851,4795
02/01/2022,CAN Sarsabz Fatima,CSF-9101,682,5080
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,548,4150
02/01/2022,Sarsabz Urea,SU-7658,789,5000
02/01/2022,Sarsabz Urea,SU-7658,586,5000
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,649,8050
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,859,4150
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,645,4150
02/01/2022,Sarsabz Urea,SU-7658,586,5000
02/01/2022,CAN Sarsabz Fatima,CSF-9101,879,5080
02/01/2022,Babar Sher Urea,BSR-0294,995,4795
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,870,8050
02/01/2022,CAN Sarsabz Fatima,CSF-9101,963,5080
02/01/2022,CAN Sarsabz Fatima,CSF-9101,709,5080
02/01/2022,Nitrophos Sarsabz NP,NSP-5678,617,8050
02/01/2022,Babar Sher Urea,BSR-0294,598,4795
02/01/2022,CAN Pak Arab Guwara,CPAG-1122,878,4150
03/01/2022,CAN Sarsabz Fatima,CSF-9101,519,5080
03/01/2022,Babar Sher Urea,BSR-0294,838,4795
03/01/2022,Sarsabz Urea,SU-7658,655,5000
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,941,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,918,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,877,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,528,8050
03/01/2022,Babar Sher Urea,BSR-0294,587,4795
03/01/2022,Sarsabz Urea,SU-7658,752,5000
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,542,4150
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,596,8050
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,855,4150
03/01/2022,Sarsabz Urea,SU-7658,738,5000
03/01/2022,CAN Sarsabz Fatima,CSF-9101,773,5080
03/01/2022,CAN Sarsabz Fatima,CSF-9101,935,5080
03/01/2022,Sarsabz Urea,SU-7658,681,5000
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,786,8050
03/01/2022,CAN Sarsabz Fatima,CSF-9101,902,5080
03/01/2022,Babar Sher Urea,BSR-0294,640,4795
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,996,4150
03/01/2022,Babar Sher Urea,BSR-0294,574,4795
03/01/2022,CAN Sarsabz Fatima,CSF-9101,875,5080
03/01/2022,Babar Sher Urea,BSR-0294,666,4795
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,967,4150
03/01/2022,CAN Sarsabz Fatima,CSF-9101,601,5080
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,945,4150
03/01/2022,Sarsabz Urea,SU-7658,553,5000
03/01/2022,CAN Sarsabz Fatima,CSF-9101,588,5080
03/01/2022,Babar Sher Urea,BSR-0294,767,4795
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,546,4150
03/01/2022,Babar Sher Urea,BSR-0294,503,4795
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,718,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,613,8050
03/01/2022,Sarsabz Urea,SU-7658,983,5000
03/01/2022,Babar Sher Urea,BSR-0294,544,4795
03/01/2022,CAN Sarsabz Fatima,CSF-9101,643,5080
03/01/2022,Babar Sher Urea,BSR-0294,693,4795
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,928,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,592,8050
03/01/2022,Sarsabz Urea,SU-7658,584,5000
03/01/2022,Babar Sher Urea,BSR-0294,655,4795
03/01/2022,Babar Sher Urea,BSR-0294,771,4795
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,619,8050
03/01/2022,Babar Sher Urea,BSR-0294,805,4795
03/01/2022,CAN Sarsabz Fatima,CSF-9101,948,5080
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,880,4150
03/01/2022,Sarsabz Urea,SU-7658,701,5000
03/01/2022,Sarsabz Urea,SU-7658,638,5000
03/01/2022,Babar Sher Urea,BSR-0294,507,4795
03/01/2022,CAN Sarsabz Fatima,CSF-9101,514,5080
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,608,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,966,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,527,8050
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,503,4150
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,516,8050
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,719,8050
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,970,4150
03/01/2022,CAN Sarsabz Fatima,CSF-9101,723,5080
03/01/2022,Babar Sher Urea,BSR-0294,828,4795
03/01/2022,Sarsabz Urea,SU-7658,909,5000
03/01/2022,Babar Sher Urea,BSR-0294,821,4795
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,723,4150
03/01/2022,CAN Sarsabz Fatima,CSF-9101,959,5080
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,675,8050
03/01/2022,Sarsabz Urea,SU-7658,932,5000
03/01/2022,Babar Sher Urea,BSR-0294,808,4795
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,577,8050
03/01/2022,Sarsabz Urea,SU-7658,867,5000
03/01/2022,Babar Sher Urea,BSR-0294,672,4795
03/01/2022,Sarsabz Urea,SU-7658,993,5000
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,680,4150
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,974,4150
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,802,4150
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,741,8050
03/01/2022,Sarsabz Urea,SU-7658,919,5000
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,881,4150
03/01/2022,Babar Sher Urea,BSR-0294,768,4795
03/01/2022,Sarsabz Urea,SU-7658,662,5000
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,936,8050
03/01/2022,Sarsabz Urea,SU-7658,519,5000
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,768,8050
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,985,4150
03/01/2022,Sarsabz Urea,SU-7658,658,5000
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,758,4150
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,900,4150
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,777,4150
03/01/2022,Babar Sher Urea,BSR-0294,598,4795
03/01/2022,Sarsabz Urea,SU-7658,910,5000
03/01/2022,Babar Sher Urea,BSR-0294,977,4795
03/01/2022,CAN Pak Arab Guwara,CPAG-1122,877,4150
03/01/2022,Babar Sher Urea,BSR-0294,823,4795
03/01/2022,Sarsabz Urea,SU-7658,791,5000
03/01/2022,Babar Sher Urea,BSR-0294,757,4795
03/01/2022,Sarsabz Urea,SU-7658,797,5000
03/01/2022,Sarsabz Urea,SU-7658,648,5000
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,901,8050
03/01/2022,Babar Sher Urea,BSR-0294,746,4795
03/01/2022,CAN Sarsabz Fatima,CSF-9101,956,5080
03/01/2022,CAN Sarsabz Fatima,CSF-9101,982,5080
03/01/2022,Nitrophos Sarsabz NP,NSP-5678,941,8050
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,713,8050
04/01/2022,Babar Sher Urea,BSR-0294,739,4795
04/01/2022,Babar Sher Urea,BSR-0294,748,4795
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,771,8050
04/01/2022,Sarsabz Urea,SU-7658,628,5000
04/01/2022,Babar Sher Urea,BSR-0294,837,4795
04/01/2022,Sarsabz Urea,SU-7658,625,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,730,4150
04/01/2022,Sarsabz Urea,SU-7658,944,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,855,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,575,8050
04/01/2022,Sarsabz Urea,SU-7658,678,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,792,4150
04/01/2022,Babar Sher Urea,BSR-0294,594,4795
04/01/2022,Babar Sher Urea,BSR-0294,867,4795
04/01/2022,Sarsabz Urea,SU-7658,929,5000
04/01/2022,Babar Sher Urea,BSR-0294,653,4795
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,507,4150
04/01/2022,Sarsabz Urea,SU-7658,772,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,798,4150
04/01/2022,Babar Sher Urea,BSR-0294,660,4795
04/01/2022,Sarsabz Urea,SU-7658,918,5000
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,842,8050
04/01/2022,Babar Sher Urea,BSR-0294,988,4795
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,786,8050
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,525,4150
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,683,4150
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,850,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,831,8050
04/01/2022,Babar Sher Urea,BSR-0294,962,4795
04/01/2022,Babar Sher Urea,BSR-0294,809,4795
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,971,4150
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,706,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,887,8050
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,610,4150
04/01/2022,Babar Sher Urea,BSR-0294,725,4795
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,883,4150
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,553,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,738,8050
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,950,8050
04/01/2022,Babar Sher Urea,BSR-0294,629,4795
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,516,4150
04/01/2022,CAN Sarsabz Fatima,CSF-9101,875,5080
04/01/2022,Sarsabz Urea,SU-7658,813,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,921,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,745,8050
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,944,8050
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,862,8050
04/01/2022,Sarsabz Urea,SU-7658,704,5000
04/01/2022,Babar Sher Urea,BSR-0294,545,4795
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,823,8050
04/01/2022,CAN Sarsabz Fatima,CSF-9101,853,5080
04/01/2022,Sarsabz Urea,SU-7658,831,5000
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,848,4150
04/01/2022,Sarsabz Urea,SU-7658,856,5000
04/01/2022,Sarsabz Urea,SU-7658,576,5000
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,621,8050
04/01/2022,CAN Sarsabz Fatima,CSF-9101,591,5080
04/01/2022,Sarsabz Urea,SU-7658,857,5000
04/01/2022,CAN Sarsabz Fatima,CSF-9101,798,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,828,4150
04/01/2022,CAN Sarsabz Fatima,CSF-9101,903,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,592,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,999,8050
04/01/2022,CAN Sarsabz Fatima,CSF-9101,531,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,928,4150
04/01/2022,CAN Sarsabz Fatima,CSF-9101,710,5080
04/01/2022,CAN Sarsabz Fatima,CSF-9101,576,5080
04/01/2022,Sarsabz Urea,SU-7658,719,5000
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,998,8050
04/01/2022,CAN Sarsabz Fatima,CSF-9101,507,5080
04/01/2022,Babar Sher Urea,BSR-0294,938,4795
04/01/2022,CAN Sarsabz Fatima,CSF-9101,899,5080
04/01/2022,Babar Sher Urea,BSR-0294,955,4795
04/01/2022,Babar Sher Urea,BSR-0294,587,4795
04/01/2022,Babar Sher Urea,BSR-0294,812,4795
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,735,8050
04/01/2022,Babar Sher Urea,BSR-0294,959,4795
04/01/2022,Babar Sher Urea,BSR-0294,675,4795
04/01/2022,CAN Sarsabz Fatima,CSF-9101,562,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,745,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,707,8050
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,774,8050
04/01/2022,Sarsabz Urea,SU-7658,526,5000
04/01/2022,Sarsabz Urea,SU-7658,514,5000
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,723,8050
04/01/2022,CAN Sarsabz Fatima,CSF-9101,715,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,605,4150
04/01/2022,Babar Sher Urea,BSR-0294,593,4795
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,851,8050
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,531,4150
04/01/2022,CAN Sarsabz Fatima,CSF-9101,670,5080
04/01/2022,CAN Pak Arab Guwara,CPAG-1122,954,4150
04/01/2022,Nitrophos Sarsabz NP,NSP-5678,745,8050
04/01/2022,Babar Sher Urea,BSR-0294,686,4795
04/01/2022,Babar Sher Urea,BSR-0294,938,4795
04/01/2022,Babar Sher Urea,BSR-0294,663,4795
04/01/2022,CAN Sarsabz Fatima,CSF-9101,923,5080
04/01/2022,Sarsabz Urea,SU-7658,591,5000
04/01/2022,CAN Sarsabz Fatima,CSF-9101,680,5080
05/01/2022,Babar Sher Urea,BSR-0294,752,4795
05/01/2022,CAN Sarsabz Fatima,CSF-9101,815,5080
05/01/2022,Babar Sher Urea,BSR-0294,810,4795
05/01/2022,Babar Sher Urea,BSR-0294,690,4795
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,991,4150
05/01/2022,Babar Sher Urea,BSR-0294,817,4795
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,789,8050
05/01/2022,Babar Sher Urea,BSR-0294,909,4795
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,819,4150
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,719,4150
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,757,4150
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,732,8050
05/01/2022,Babar Sher Urea,BSR-0294,573,4795
05/01/2022,Sarsabz Urea,SU-7658,982,5000
05/01/2022,CAN Sarsabz Fatima,CSF-9101,503,5080
05/01/2022,CAN Sarsabz Fatima,CSF-9101,696,5080
05/01/2022,Sarsabz Urea,SU-7658,805,5000
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,763,4150
05/01/2022,CAN Sarsabz Fatima,CSF-9101,639,5080
05/01/2022,Sarsabz Urea,SU-7658,592,5000
05/01/2022,Sarsabz Urea,SU-7658,980,5000
05/01/2022,Babar Sher Urea,BSR-0294,692,4795
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,724,4150
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,520,8050
05/01/2022,Babar Sher Urea,BSR-0294,958,4795
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,944,8050
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,526,8050
05/01/2022,Sarsabz Urea,SU-7658,938,5000
05/01/2022,CAN Sarsabz Fatima,CSF-9101,743,5080
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,644,8050
05/01/2022,Sarsabz Urea,SU-7658,971,5000
05/01/2022,Sarsabz Urea,SU-7658,706,5000
05/01/2022,Babar Sher Urea,BSR-0294,961,4795
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,895,8050
05/01/2022,Babar Sher Urea,BSR-0294,801,4795
05/01/2022,Babar Sher Urea,BSR-0294,558,4795
05/01/2022,CAN Pak Arab Guwara,CPAG-1122,551,4150
05/01/2022,Nitrophos Sarsabz NP,NSP-5678,812,8050
05/01/2022,Babar Sher Urea,BSR-0294,849,4795
05/01/2022,CAN Sarsabz Fatima,CSF-9101,753,5080
05/01/2022,CAN Sarsabz Fatima,CSF-9101,855,5080
